g,h
-68.89438,-24.23662
30.12766,31.59536
41.90539,.1965958
-12.72669,-2.053899
-32.33191,-4.850478
-.9433983,2.216904
19.25001,-22.05667
22.24104,14.56182
26.12414,11.82138
-7.818593,-17.48527
5.176957,-7.017157
37.11757,11.36907
-13.174,-3.489872
-38.43091,-8.911438
24.59959,-3.407727
23.641,-1.56661
-89.73832,-6.102561
-64.72997,29.46976
-22.82792,-1.314532
63.3286,3.432539
17.14704,-17.63355
-122.3525,6.497902
66.58376,-4.250068
1.153287,-16.22232
91.66839,.7345826
-85.15297,-13.6756
13.67727,5.068181
-43.51947,14.40386
-8.831576,-38.40719
-19.17073,14.76634
-10.0591,-28.77671
19.46864,-7.521756
9.535819,7.443872
-22.81737,17.4455
41.59483,-9.136141
-9.060117,7.495419
-3.666975,-13.64816
-10.95981,-.2886734
-3.192395,-4.225625
9.776348,-7.829319
-10.208,4.610415
21.36754,.5943499
-1.073255,1.659662
-4.613302,-1.819253
-4.33594,1.941696
41.64809,1.607674
-33.35528,5.572105
-14.0294,9.342609
2.72869,8.767279
.6529793,-22.86467
9.187605,1.77418
25.10847,3.500988
-23.53311,-.5969407
23.04862,7.418719
-7.845452,-8.458298
-15.9809,1.590472
-2.92454,-7.00118
-13.90742,6.5402
5.027729,-7.637864
4.616202,41.90744
8.469142,-42.03543
-22.17813,11.8589
10.03424,10.01697
8.754597,-12.20201
.5255522,27.56918
-2.927618,-38.11586
-8.032603,.80998
.3646809,-.9065402
-17.74027,-.8031157
3.803685,.2587683
11.03131,3.220607
-2.600205,-14.73658
-6.402582,4.071802
-1.576506,.0446484
.275984,2.259596
-.7943987,-5.763504
.6299251,2.939655
13.08324,4.392898
-9.788208,2.395208
66.70297,8.353835
-60.00131,-3.574792
-5.165558,-5.613535
.8376306,-.777033
-8.231382,1.551766
-17.08173,-124.4221
20.47277,13.24141
-6.452092,1.364608
-47.05788,-39.82789
23.40939,18.2479
13.21083,28.58545
-18.72989,-17.97311
-13.98748,-15.22709
8.614465,-4.541031
13.54782,22.27103
5.829861,-5.777468
-10.95981,4.999744
-.9875081,-11.1527
-11.47582,-12.42649
5.714019,1.747234
-1.999711,.9983909
11.39529,6.677068
11.05878,12.4961
3.546956,4.72107
-13.53496,-12.80288
-15.7767,-8.556924
9.93329,9.947272
4.508043,-4.487224
12.30269,30.39314
5.336786,-18.19852
-11.27241,8.901152
18.51369,20.7336
43.20218,35.48053
-5.892022,-27.31701
-13.85346,-20.99019
2.816218,-11.15718
-11.86786,8.015237
-4.250877,-12.15568
2.558513,19.29967
-10.44976,-10.34874
11.80361,9.807279
-1.49794,-9.281638
16.94899,-2.332699
-21.51721,-4.476964
1.971771,6.878657
-11.3143,4.309755
.4539942,2.16336
5.246725,-35.45613
1.925158,24.66677
30.15536,16.10893
-24.32357,-14.57848
-17.5524,7.159422
13.37826,7.088176
2.802056,-6.194792
18.32904,17.36537
7.687885,-16.49756
3.495461,22.31962
-10.24368,23.57116
5.201838,19.88975
6.944914,-10.75669
37.33725,-10.38557
-25.98031,-11.71972
-39.28321,18.39243
18.86051,1.763934
7.517167,.9268362
-10.82503,3.572231
.8827693,-12.39715
-1.111435,2.558689
16.82638,8.204359
10.10399,-.0023665
18.12619,2.888109
-.9842799,25.89375
-2.782819,-27.69774
.507071,-9.205062
1.145483,27.02394
13.90864,-4.398678
-3.29254,-26.01872
5.360741,13.64747
-5.817556,5.104043
22.43613,9.15907
-6.956131,1.478618
-5.967719,-17.69396
-4.791338,16.24257
6.851378,-4.807249
-4.033485,2.236836
26.33788,6.037476
-1.897972,-6.710666
16.58743,1.2903
-32.48986,10.89404
16.57349,.3153799
15.53387,8.118065
-18.35268,-2.754933
-9.071069,6.822357
13.95887,-2.743038
-8.530427,21.64758
-9.595058,-24.00778
1.454296,16.27492
-296.4657,-270.9137
220.8925,167.1206
32.58055,88.37392
19.34861,-5.366602
-25.12073,-.1454508
18.07583,1.556756
-3.342351,-17.91035
5.261935,25.6341
-6.985063,-9.613295
-35.78806,7.126122
16.61784,-11.88019
-18.53794,3.285408
15.52638,5.017198
3.932351,-13.40448
-13.14956,24.91683
35.97656,-7.546148
-182.2104,-126.9072
176.8373,131.1833
-1.702157,10.17575
13.50426,2.927261
-182.7147,-179.5224
137.4475,147.3356
-7.312571,-.8124322
10.49926,18.25185
-51.24814,-66.03204
2.65203,-7.811042
-18.72647,-35.68204
-.4224144,-5.879687
1.684069,5.078896
.0212032,33.07597
24.08027,-8.057105
-11.65426,-19.23531
-10.74144,-4.922322
5.775443,16.80652
-19.25932,-34.5168
1.329962,2.713217
3.464454,-1.904256
-14.05525,.7563711
12.15136,13.6154
7.2371,-16.85507
-2.729504,27.42647
1.801649,1.095614
6.584479,-4.376083
-9.518665,-13.8837
18.02074,4.821563
-20.79515,-9.909626
.5273456,13.60965
-6.493591,-5.818757
3.528442,7.989694
-4.88599,-2.060463
-12.13345,-24.26236
1.993181,5.416782
8.846251,1.962999
-.0071476,11.25291
5.109142,-.9740319
22.67457,42.20969
-211.4382,39.36615
197.2768,-10.33949
16.47718,-40.21674
50.80313,-12.25076
-43.27268,16.16951
-52.25399,-35.41297
40.553,57.86489
-22.15955,-20.94402
-10.58538,-16.38855
26.60187,-8.387718
-85.06335,-23.78361
55.68175,27.60599
19.54893,-28.66055
-93.0969,-24.67241
35.13863,48.36854
52.02861,-26.79832
-71.06741,8.36704
24.97423,-6.109169
-7.916258,41.83126
-13.0028,-24.39022
-1.228919,3.099301
-22.75293,-16.61867
-54.88094,24.12068
88.23719,16.19192
-39.93942,-93.49449
-57.51649,60.15901
236.7444,-13.27109
-19.57992,-21.69616
-16.06172,-11.93732
18.53985,27.31812
-30.34685,-4.847714
.3210517,-29.27496
66.74677,19.06124
-17.41405,-5.060586
-15.67208,-5.928642
18.37595,14.05031
-33.98779,-14.72394
-9.407207,2.286277
21.54955,4.626139
15.14611,15.00659
12.95915,58.03638
-32.13059,-45.03442
-9.033972,.8030181
18.02562,.0546935
-25.91892,14.56431
-12.01725,-11.9849
-38.9878,-13.89862
62.15627,4.472595
-25.0041,21.46247
-6.259915,2.441556
-16.9078,-10.60932
198.0894,10.45157
-54.40295,-12.40212
-52.56339,11.8163
36.28663,-.4024445
32.76015,7.652934
38.30111,-24.59481
-52.58036,14.56221
-15.36516,-15.73869
-113.7395,-89.68126
56.16719,23.07072
36.92365,35.07028
-3.624148,-3.124726
-12.16026,-14.50031
11.65964,12.20883
-12.06606,-12.86697
-2.263118,1.420871
-3.080779,12.20402
4.501382,-16.40825
-5.525824,-1.937857
-.0027019,-1.367503
.8615065,-4.129661
-6.6728,-14.84987
-.9544539,.407548
11.30953,18.19623
22.93045,7.729745
-4.408136,-19.57737
.3957905,2.165615
-118.534,-98.82125
115.4268,103.7681
-15.53968,-15.05829
6.802627,-4.646813
13.47833,-1.68454
-9.989781,-2.67868
3.880428,12.69121
8.83234,20.27583
-31.2562,-28.38448
-16.27485,-2.38714
-1.083034,-5.875734
3.981091,5.103854
8.041551,-7.077301
-9.3552,8.670383
17.96845,3.207011
-7.97796,-9.809449
-32.3384,-2.292611
23.76874,2.567178
10.2953,29.59395
3.147164,-32.22697
-3.860333,2.114109
.3360049,-5.825992
6.661944,9.98062
-5.598417,-3.259828
6.092826,3.150973
-15.34341,2.785913
6.351498,-2.682215
6.274056,-1.67446
-17.77563,3.578812
2.073394,-20.53157
.4088851,1.552225
-14.27565,37.79052
24.67369,10.22579
-6.861132,-11.31308
-8.2293,12.08782
12.92943,-4.496505
40.46552,82.9928
4.058703,-5.690608
4.895366,-51.57883
-6.186425,-1.822645
15.1521,-18.00391
7.327323,-2.73612
-3.546569,-.5821643
-22.16066,-22.23865
1.667831,19.54022
-37.46549,-45.62183
47.60502,52.32565
-3.237503,-12.60642
-8.595346,-21.15598
11.47224,4.906002
-61.48701,-59.31774
53.35618,121.5887
-17.67617,-8.429535
2.748343,1.269574
-48.28006,-28.45963
31.13981,41.64151
31.5379,-20.99544
13.69969,16.1071
-12.79647,-24.64308
49.47731,1.554113
-48.30222,20.75945
-.5307694,14.0008
2.76405,4.228168
1.250921,-38.53346
